Price,Open,High,Low,Close,Volume
Ticker,DHR,DHR,DHR,DHR,DHR
Date,,,,,
2019-01-02,87.65712997135451,88.096879399619,86.1999113330449,86.65690612792969,2703929
2019-01-03,86.19989986936015,87.51053271709661,83.15613016843166,84.17359924316406,3631145
2019-01-04,85.01861827409184,87.40707186074071,85.01861827409184,86.6137924194336,2883958
2019-01-07,86.85524365856953,87.64852324699001,86.4844756292773,86.96733856201172,2657794
2019-01-08,87.71747774530955,89.22642487354207,87.484665325155,89.18331146240234,4116298
2019-01-09,89.74378673794327,90.81299201315282,89.44200025243454,89.98522186279297,3401597
2019-01-10,89.70929405917158,90.90783213327524,88.99362622428927,90.84748077392578,1889851
2019-01-11,90.1749335081632,90.78713666843356,89.84727150715841,90.76126861572266,1745806
2019-01-14,89.98521568511362,90.51981457574034,89.65756117300803,89.75240325927734,1763515
2019-01-15,89.8989866686727,90.95093905939903,89.70928765965387,90.57154846191406,2336201
2019-01-16,90.78710474429818,91.18374065917232,89.81274918869494,90.09729766845703,3163476
2019-01-17,90.09732184481966,91.33035074688459,90.0628311107449,91.02855682373047,3487889
2019-01-18,91.75285314829962,92.85654177749053,91.4251986011085,92.64960479736328,3556584
2019-01-22,92.11499867516065,92.17535745885391,90.81299574572394,91.75285339355469,3026762
2019-01-23,91.5976327670689,92.23570383112686,90.49394428344236,91.51140594482422,2142862
2019-01-24,91.48554963141646,91.8304495161014,90.72676098044596,91.44243621826172,1873382
2019-01-25,92.07189680731048,92.8220554543139,91.34759879106723,91.68387603759766,3158964
2019-01-28,91.00268232414717,91.43381646952872,90.50257413605785,91.4251937866211,2369364
2019-01-29,91.56316192740219,92.95139922598729,90.10595057659158,90.76988983154297,4098137
2019-01-30,91.4424284607225,94.3999712494691,91.04578509334816,93.99470520019531,3973831
2019-01-31,93.67566025612628,95.79681002377124,93.19279755801251,95.64160919189453,3258115
2019-02-01,95.65025633564613,95.71061511591635,93.96884801208222,94.2447738647461,2919377
2019-02-04,94.15855025546927,94.49483489990234,93.58083790225311,94.49483489990234,2177717
2019-02-05,94.84835395458697,95.4433116520066,94.01196113683052,94.42584991455078,2898847
2019-02-06,94.22752887983502,94.78799584977072,94.03782985536182,94.55518341064453,1802206
2019-02-07,93.8740034741634,94.58967129475148,92.97725189693095,93.632568359375,1924819
2019-02-08,93.05484310277164,94.29649439365437,92.74442656977494,94.20164489746094,1420716
2019-02-11,94.46896869192913,94.7880005556468,94.05507989071228,94.57243347167969,1860185
2019-02-12,95.27946668942718,96.14172742920186,94.8224719850061,96.02963256835938,2000282
2019-02-13,96.27108206610991,96.39179220607518,95.36570778277422,95.90030670166016,2213136
2019-02-14,95.68475138054633,95.78821615940603,95.09841633775781,95.15876770019531,2535744
2019-02-15,96.0210213248657,96.21934302536513,95.3915729133988,95.91754913330078,4567159
2019-02-19,96.01242506184525,96.417683836436,95.62441165726071,95.98655700683594,2668848
2019-02-20,95.7192236505417,96.77117596722695,95.41742979379877,96.74530792236328,1921661
2019-02-21,96.42629587830473,96.97814023703792,95.96930104413656,96.94365692138672,2054878
2019-02-22,97.04711973174011,97.97836216975578,96.88329615865695,97.8490219116211,2093342
2019-02-25,106.86821909243766,107.00618201012006,104.61772867995468,106.1870346069336,9931814
2019-02-26,105.56623805988843,106.41125374357031,104.60051221044186,106.23880004882812,7519248
2019-02-27,108.10988270086912,109.96373735460736,107.80809620496244,108.98076629638672,17497649
2019-02-28,108.7393224873729,110.2310317428953,108.47202674610236,109.52397918701172,7028906
2019-03-01,109.98097815972287,110.55006781517673,109.01525250821126,110.1706771850586,4092158
2019-03-04,110.18792415848264,110.70527772366513,107.6528850105904,108.54962921142578,5082542
2019-03-05,108.14436604235004,109.17045044707348,107.81671151885672,108.0840072631836,3788275
2019-03-06,107.79084101184334,108.0150233373661,106.72163579726592,107.4718017578125,4279858
