Price,Open,High,Low,Close,Volume
Ticker,APD,APD,APD,APD,APD
Date,,,,,
2020-01-02,206.21081779095326,207.5694889785471,202.3451835226231,202.608154296875,1320500
2020-01-03,200.425448342313,201.84548470615078,198.0850346341618,198.10256958007812,1710400
2020-01-06,197.357548638929,199.9872295714943,197.1734784637888,198.0149688720703,1737400
2020-01-07,197.58542055031478,200.58325456617018,197.14714048878187,198.85643005371094,1518900
2020-01-08,199.60156276930633,200.68848904089057,197.97992077507251,199.9346466064453,965700
2020-01-09,201.67026870726855,204.87846978200895,200.97777846315378,204.67686462402344,1320900
2020-01-10,205.55336952209473,206.24584620381938,202.7045488357544,203.36196899414062,949000
2020-01-13,203.67753404833158,207.98144795537158,203.60740762542846,207.62205505371094,1376800
2020-01-14,206.89452407370143,207.73602783678382,205.01868558906318,205.5709228515625,944200
2020-01-15,206.0617850273079,207.50810408867187,204.90471907801836,206.39488220214844,779500
2020-01-16,207.63084961279455,207.9464118795622,206.4124312390736,206.66664123535156,756600
2020-01-17,206.91206712032007,208.05159821637753,206.14068975525058,207.7447967529297,1857000
2020-01-21,207.27147671198748,209.60311719553073,206.28971997524542,207.902587890625,1699900
2020-01-22,209.15604836622532,209.62062424331808,207.67465935709058,208.65640258789062,927800
2020-01-23,206.71044638756305,208.37590552706666,204.7995380706792,207.9989776611328,1072300
2020-01-24,208.2181139268166,214.41540125571015,208.2181139268166,213.8368682861328,1763500
2020-01-27,210.72505280087375,211.13703713766117,204.5540752858871,204.65049743652344,1368900
2020-01-28,205.194012319251,208.11295993527077,204.88722421711958,207.2626953125,1338500
2020-01-29,208.5599954898817,208.5599954898817,206.48255176203182,207.98147583007812,709000
2020-01-30,207.1487092100605,211.89966380476633,206.99092142173052,211.6103973388672,1074100
2020-01-31,210.67249756099784,210.94422911172543,208.45480109023893,209.24371337890625,1596400
2020-02-03,210.27803007775975,213.59142663046813,208.94565480185796,213.0128936767578,1639600
2020-02-04,214.67838415982342,217.38695224997514,213.24958660487508,216.5892791748047,1447300
2020-02-05,218.01806619849228,219.65722958402182,213.12685840410552,219.385498046875,1590800
2020-02-06,219.779947380128,220.5600854663498,218.10572747053828,220.0692138671875,1517600
2020-02-07,219.49072205980033,220.34098673040984,218.37749996549752,219.06997680664062,730800
2020-02-10,220.45487827492457,220.89315835101786,219.4205437154627,220.6389617919922,861600
2020-02-11,222.0151818825017,222.9180378815007,221.08603014568703,221.25257873535156,965400
2020-02-12,221.59444720289744,223.2686805911541,221.42789860534066,222.73397827148438,690000
2020-02-13,222.5498945775799,224.67994306693112,221.99765730714645,223.41769409179688,666200
2020-02-14,223.71574344545357,224.44327679776154,223.21609760383836,224.40823364257812,650800
2020-02-18,224.3205682237827,224.9166228571946,223.49659933327223,224.1715545654297,857900
2020-02-19,224.75880549476202,225.28474696814325,223.5316131819549,224.24163818359375,931000
2020-02-20,223.4352244703305,224.4082203543076,220.98962701609534,223.87350463867188,922900
2020-02-21,223.73327233361238,224.0400604361521,222.38336188163848,223.49659729003906,1587000
2020-02-24,218.92969382615553,220.09552062013816,214.4767659355014,215.2218475341797,1330700
2020-02-25,215.23062451494076,215.97570616967545,205.83390977818723,206.42120361328125,1423700
2020-02-26,206.82440903197596,210.52349472756762,206.08810155827268,206.44749450683594,1310200
2020-02-27,203.25680259400679,204.48398163945467,196.34074249982538,196.4283905029297,1410300
2020-02-28,190.55545401966663,195.28011377284702,187.41736636051394,192.5014190673828,2353600
2020-03-02,193.7987054074617,202.34516797483622,193.39549517647325,202.17861938476562,1625400
2020-03-03,202.5643047535908,207.93762336063008,196.83160660961047,199.29473876953125,1607800
2020-03-04,202.85358740694357,208.130484272107,201.42478980697143,207.92010498046875,1213900
2020-03-05,202.04715122320715,205.75499758518373,200.8725636192144,205.1151123046875,1548200
2020-03-06,198.3042508025585,202.9500234864598,197.6117739882359,201.3546905517578,2175000
2020-03-09,188.4516872254944,188.4516872254944,179.46694493651978,179.82632446289062,2393700
2020-03-10,184.89284747118148,188.09230041503906,179.3617544229876,188.09230041503906,1962500
2020-03-11,184.07767634052828,186.82131455844558,178.33620328438093,182.1492462158203,1470600
2020-03-12,173.47125614692717,180.72041265895137,156.44845887235982,164.556640625,2288700
2020-03-13,172.81386674211785,181.02724627352424,165.3806387583416,180.88699340820312,2180400
2020-03-16,149.14672123153116,167.5983171745403,146.76247628080586,158.087646484375,1809000
2020-03-17,162.47046496028716,180.36105139959682,159.17458950973477,179.78253173828125,2284700
2020-03-18,167.1688177162457,185.4187958815835,160.26151839537465,176.68826293945312,2582200
2020-03-19,174.87375871575688,179.57212189094952,165.30172300160825,167.4580535888672,1818200
2020-03-20,167.3967225180133,169.9212204765252,159.7881721153865,165.80137634277344,2155600
2020-03-23,163.39961604364026,170.58740815017595,152.4426118034184,154.9145050048828,2162800
2020-03-24,162.65454239781656,175.9432010034031,157.14098347831822,170.42086791992188,2161600
2020-03-25,169.49169320454854,179.36175696340936,166.30101437817493,167.5544891357422,2165300
2020-03-26,169.15858925116606,177.76641712025906,166.52890856410676,176.48663330078125,1512800
2020-03-27,171.20098802085724,174.56697632284428,167.7210426011432,169.3251495361328,1173100
2020-03-30,173.97090702821012,182.84169212837423,172.77002381313778,181.03598022460938,1281800
2020-03-31,178.8391105655192,181.6447829837337,174.22476523618315,176.11285400390625,2372800
2020-04-01,169.39867117615697,174.16300341794764,166.34596003246068,166.9988555908203,1566500
2020-04-02,165.54307867866248,175.78640434344163,164.50197575657907,171.6043701171875,1963500
2020-04-03,170.62503004449147,172.0366908870652,163.4432334427834,164.6343231201172,1943700
2020-04-06,171.710250177495,174.8688311325307,168.17229324987008,171.0397186279297,2090400
2020-04-07,175.23052862795348,181.52122154822732,174.91290566302507,178.24794006347656,1383800
2020-04-08,179.5184671818233,191.96750471221267,177.4009893081427,190.3617401123047,1804000
2020-04-09,189.80589555778445,196.3965627791497,189.80589555778445,193.50267028808594,1744000
2020-04-13,192.51450667308404,194.09380372526493,188.3765895377458,190.74111938476562,1096700
2020-04-14,195.54955360062,197.87878435126657,192.7703625611033,194.7996063232422,965400
2020-04-15,193.45858040829475,193.45858040829475,187.07083398806225,188.65013122558594,1042400
2020-04-16,189.19711686386597,189.92941471706237,186.64731483982794,187.8207550048828,974400
2020-04-17,191.86160177656745,197.49056798088498,189.34708545535264,195.426025390625,1755600
2020-04-20,193.6526830135611,195.1437329200797,188.12075390753915,189.1353759765625,800500
2020-04-21,185.24448291804217,185.38563822428267,181.2300852439792,182.9770050048828,1498500
2020-04-22,188.5001158619927,190.03529604655589,185.967963146953,189.19712829589844,1318100
2020-04-23,192.5321595055149,193.91733942061344,184.98862297300067,186.40028381347656,1113900
2020-04-24,188.19132603877628,191.74693224299418,187.24727496360086,191.2616729736328,811900
2020-04-27,190.97051629786333,196.2642243779848,190.14116654462896,196.09658813476562,1194300
2020-04-28,198.88459324663958,200.455058760239,195.09076676782288,197.29647827148438,1093400
2020-04-29,199.3786843397507,204.58417192808216,198.54933460266292,203.5166015625,1323800
2020-04-30,199.31688180013492,201.6019952770673,197.76405256399872,199.02572631835938,1284000
2020-05-01,194.4467185245674,196.661248207042,193.1056420522144,196.0877685546875,827200
2020-05-04,195.4701734584154,198.0817285709846,193.67913663583033,197.05828857421875,1345100
2020-05-05,198.51405043291626,200.99326819764093,197.21709089308024,197.89645385742188,1106400
2020-05-06,197.39353886108904,199.83747108494373,196.68770845612872,197.08474731445312,1314400
2020-05-07,199.52869493349172,201.54030312788015,196.8906720927668,200.10218811035156,761700
2020-05-08,203.8783261863252,206.06638821624318,202.21080883734916,205.9958038330078,808700
2020-05-11,202.04319056448472,206.03993906501904,201.06385403678183,205.2811737060547,852300
2020-05-12,205.25471867054665,206.58696376385743,202.98725391917432,203.15487670898438,1062800
2020-05-13,202.7931585100705,205.44001280363193,197.0053591462346,199.25518798828125,1128400
2020-05-14,195.61132780392344,199.1934011847707,193.67912234415735,199.06105041503906,958900
2020-05-15,198.2669892265541,201.266751373149,196.32596586919308,201.1961669921875,1441300
2020-05-18,208.1574112571921,212.9129384503749,208.08684033219308,210.82191467285156,1159300
2020-05-19,209.71021630782036,211.0601105888646,208.0338675895462,208.24562072753906,720400
2020-05-20,211.44834957982326,213.75111313247368,210.4513635836755,211.57186889648438,781700
2020-05-21,210.84838537482338,211.96889066838278,207.50453241955933,207.81332397460938,736200
2020-05-22,206.86044905933943,208.1221095497986,205.7222944092861,206.76339721679688,775100
2020-05-26,210.81311606793264,212.2071275603338,209.3132347156974,209.80731201171875,1043100
2020-05-27,211.96888341950523,212.32179188823534,205.051775116672,207.47805786132812,1025700
2020-05-28,210.94545237393825,214.27166956782727,208.81032494781695,212.34828186035156,930100
2020-05-29,212.89530998174376,214.36872387876016,211.35131169017254,213.2041015625,1241800
2020-06-01,213.60992728185187,215.81563880495446,211.2453975285366,214.04225158691406,711700
2020-06-02,213.9893391882735,216.53914159927547,213.3452750847421,216.42445373535156,933700
2020-06-03,217.88020486041532,221.10937010659833,216.49502487632023,219.21246337890625,849100
2020-06-04,218.23313378139665,219.53009341406496,214.49224167227624,215.25100708007812,1210300
2020-06-05,220.42116937938306,220.871129691395,218.30367820278556,219.3183135986328,1243100
2020-06-08,217.86251467713691,220.41232991804634,217.03317851934526,220.20057678222656,889400
2020-06-09,218.25959536128445,221.71814980094612,216.89205137143904,221.33876037597656,1014400
2020-06-10,222.29158493504497,222.81212957741113,218.35660346509187,218.68304443359375,625900
2020-06-11,214.73048053635299,215.69216774451462,205.24591886549072,205.6429443359375,1370100
2020-06-12,210.7601759018959,211.75714846995714,203.48132704201066,207.3721923828125,854300
2020-06-15,202.92549447497396,210.33668106206463,202.19319650983525,209.1103057861328,709300
2020-06-16,212.8247153006623,214.13932434333833,208.75738231637845,210.01904296875,961600
2020-06-17,211.86301926421447,212.2247457424742,208.88089281171256,209.4984893798828,513900
2020-06-18,209.6043827322101,211.3601206699122,208.4309424651882,210.080810546875,678400
2020-06-19,213.46878086688835,213.46878086688835,207.68099537821016,207.786865234375,1386600
2020-06-22,207.4251244477289,209.65730351205946,206.1016974864612,208.63385009765625,667200
2020-06-23,211.21015321474727,212.03068506174313,208.66916873707927,210.94546508789062,975900
2020-06-24,209.08378542487662,210.85718595705075,202.92544313744895,205.69581604003906,1164400
2020-06-25,205.5193882941609,209.67494145193967,203.56953329630915,209.36614990234375,860400
2020-06-26,208.71325946348483,210.0102190059039,206.8339888076132,208.23683166503906,1243700
2020-06-29,210.5219268798828,211.68653553991211,208.042709332212,210.5219268798828,993300
2020-06-30,209.53708847686602,215.65036078939502,209.39512243272586,214.23960876464844,1544500
2020-07-01,214.62997327545514,217.24742287087898,212.3763200928271,216.27142333984375,1049100
2020-07-02,217.5313733265901,219.8293929231965,217.30955644957496,219.52772521972656,1333000
2020-07-06,222.10964952674937,222.6863679204164,217.25629577308615,220.8497314453125,1131600
2020-07-07,223.4583154008556,235.36542956061948,223.29860021783776,235.24122619628906,2682600
2020-07-08,236.36805052359946,245.64886075398945,235.99541334641756,239.3759002685547,2793000
2020-07-09,240.46724221512733,241.34565550421468,235.95993496458735,240.98187255859375,1504300
2020-07-10,241.70054108094635,242.96932709772872,239.42025712479563,242.39260864257812,951600
2020-07-13,244.94799173163904,249.05604536899304,242.70320561351335,243.42189025878906,1180900
2020-07-14,243.11130211523673,249.81016110539284,242.25065153195752,249.31329345703125,1990300
2020-07-15,250.87486781073582,253.13738894417534,249.4108819551424,250.18280029296875,1327100
2020-07-16,251.25634996470674,255.53298489093515,250.88371285833378,254.81430053710938,2252300
2020-07-17,256.4202911999761,262.0721804833382,255.19585779544954,260.85662841796875,1961500
2020-07-20,260.3775179103617,262.5424528176328,255.53304485004452,258.0794982910156,1037600
2020-07-21,258.1947845094845,259.67653281567635,257.2276664009698,257.653564453125,1057500
2020-07-22,257.68907735245494,262.87959731712004,257.0058911681474,262.1964111328125,820600
2020-07-23,256.8106755197607,266.0205153600334,256.8106755197607,260.191162109375,1318700
2020-07-24,259.05543957072786,260.27987280027907,256.73080353305795,258.6561584472656,1064000
2020-07-27,260.5461317876319,263.5983345735253,259.3128438732134,261.48663330078125,1077300
2020-07-28,261.2913262100892,261.4954074272903,256.5444680403814,256.6597900390625,775400
2020-07-29,256.60660420340497,259.72980286642223,255.9145366955324,256.2872009277344,1131200
2020-07-30,253.77623806015364,255.00955286988227,251.25640163466505,252.70265197753906,1042200
2020-07-31,253.42126475297124,254.41499972939806,249.3753283048064,254.31741333007812,1546200
2020-08-03,255.60396909256897,256.09198238680074,246.95311233467547,247.02410888671875,1731000
2020-08-04,245.1786060876252,249.28665877285198,243.60815242624167,248.06222534179688,2065300
2020-08-05,249.4552234058089,255.5685087720113,249.3931081894399,252.53404235839844,1624700
2020-08-06,251.6823260437102,252.84464441218626,249.37542491061942,251.0878448486328,1293700
2020-08-07,251.3894458012508,251.3894458012508,247.725054398808,249.93434143066406,861700
2020-08-10,249.12695975926619,250.02310857090254,247.4588925791826,249.53509521484375,980600
2020-08-11,250.30705655741647,252.59622219195379,249.18911776305222,249.8545684814453,967000
2020-08-12,251.983996556026,254.96520267312607,250.7506816039672,253.22616577148438,755400
2020-08-13,252.23235813921823,255.96774605613152,252.13477172897302,255.80804443359375,758200
2020-08-14,255.90565828706107,259.12641598851377,255.24906204249396,257.1478271484375,1017200
2020-08-17,258.8869102272791,260.2444284200298,256.5001584846202,256.91717529296875,846100
2020-08-18,257.80441901283734,258.62071695203747,253.70524787077923,254.06903076171875,763900
