Price,Open,High,Low,Close,Volume
Ticker,ITW,ITW,ITW,ITW,ITW
Date,,,,,
2021-01-04,188.85147049251174,188.85147049251174,181.75274486175522,183.22300720214844,1418100
2021-01-05,182.70888584227689,185.6494109177671,182.70888584227689,183.8454132080078,1012700
2021-01-06,185.82980639827335,191.13355026195694,185.3156604488097,188.5538330078125,1243800
2021-01-07,189.1130507801035,189.6632705377413,186.713730934443,188.7522430419922,986200
2021-01-08,189.47383393222304,189.60011319249708,185.2073841778862,188.4816436767578,861400
2021-01-11,186.80396930697393,189.4558343926273,186.18158789177608,187.6789093017578,995400
2021-01-12,189.2574017224871,190.59235614140295,188.67109422306552,188.82443237304688,971500
2021-01-13,188.8695242842975,189.4919056456007,186.7588504390678,186.92120361328125,612300
2021-01-14,187.81421682191157,188.11187811806937,185.00899962123677,185.27960205078125,724500
2021-01-15,183.8363802588457,184.15208535628736,180.67036930455166,183.2771453857422,1537200
2021-01-19,186.26276836798826,187.5977228541104,184.13405046467483,184.73838806152344,976900
2021-01-20,185.37878454858418,185.37878454858418,183.08770004580066,184.90072631835938,725900
2021-01-21,184.71132732536296,186.13648719024388,182.9524322831845,183.85443115234375,673700
2021-01-22,182.63672214089567,184.17011742353026,181.40098812849058,183.52069091796875,662000
2021-01-25,183.13278192939285,183.49357587835794,180.48090373793792,182.49237060546875,1027300
2021-01-26,183.72815047087178,183.72815047087178,179.61503786077634,180.13819885253906,692600
2021-01-27,177.64866026366533,178.1357473214098,173.98654735107934,176.19644165039062,1433300
2021-01-28,177.973381354202,181.40999458639678,177.341984945719,177.95533752441406,914200
2021-01-29,176.77372835038156,177.6667121544902,174.96973067506636,175.1772003173828,1557900
2021-02-01,177.34200946465063,177.62162692968033,174.25717478806575,175.78155517578125,1070900
2021-02-02,177.42316993156166,181.400988138377,177.42316993156166,178.812255859375,997200
2021-02-03,177.9372844421776,178.91144467357816,176.85488877286843,178.05453491210938,818000
2021-02-04,179.21815684261094,179.7413178363686,177.47729187469534,177.74789428710938,1247900
